ID,x1,x2,x3,x4,y1,y2,y3,y4,choice
15,4,3,8,8,7,8,9,9,4
15,7,1,10,7,2,5,8,10,3
15,7,9,7,9,7,8,1,9,4
16,7,4,4,2,5,9,9,9,2
16,3,4,9,9,10,5,7,1,4
16,6,2,7,3,3,10,3,4,2
16,5,6,6,4,8,6,9,8,1
16,10,1,2,3,8,1,8,6,3
16,1,4,5,2,9,9,5,10,2
16,6,5,8,2,1,1,8,1,1
16,10,8,8,7,3,1,8,5,3
17,1,6,10,6,10,8,9,3,2
17,9,7,4,3,9,5,7,4,1
17,9,7,4,8,8,1,10,1,4
17,9,8,9,1,7,1,6,5,2
17,8,2,5,6,4,10,3,8,1
17,7,2,8,6,9,1,1,1,3
17,8,9,3,9,3,3,5,2,2
17,5,9,5,7,3,7,6,9,1
18,4,3,6,3,5,6,4,2,2
18,5,4,7,5,10,3,9,4,2
18,1,1,9,8,2,5,7,6,1
18,1,6,4,4,4,6,3,5,1
18,6,3,8,3,6,7,7,9,2
18,1,9,6,2,8,10,6,2,1
18,1,1,10,3,9,7,6,9,2
18,3,1,6,5,3,8,8,7,2
19,4,10,7,6,8,10,8,8,1
19,5,7,6,3,4,5,2,6,2
19,1,2,7,6,8,10,8,3,2
19,3,1,8,5,3,10,5,4,2
19,10,10,8,10,4,2,9,6,3
19,5,3,4,9,8,8,10,10,4
19,6,2,3,2,1,4,10,4,1
19,7,3,2,5,10,3,9,1,1
20,3,1,6,8,10,9,5,5,1
20,7,8,5,2,8,4,1,2,2
20,3,5,5,10,3,1,8,4,4
20,6,2,3,4,7,10,7,7,4
20,5,8,4,8,4,5,5,10,4
20,5,8,2,9,6,3,9,8,4
20,3,3,3,3,5,7,8,7,4
20,1,5,6,1,7,8,7,6,2
21,5,10,8,7,10,3,9,1,2
21,8,3,10,6,4,7,2,6,3
21,9,2,9,10,3,1,5,3,1
21,1,4,3,1,9,2,4,3,2
21,7,1,10,7,6,1,2,1,2
21,10,10,1,10,2,2,7,10,1
21,3,4,6,8,5,3,3,6,4
21,2,2,7,7,9,3,6,8,1
22,8,2,8,10,7,9,4,9,4
22,6,8,7,8,9,2,7,3,1
22,3,4,7,5,1,1,8,10,4
22,5,5,10,4,8,6,6,5,3
22,2,10,3,9,9,1,1,8,4
22,8,6,9,3,2,10,5,10,2
22,7,4,6,6,9,3,5,8,1
22,8,4,8,9,1,8,3,10,4
23,5,3,5,10,9,3,7,9,2
23,10,3,7,8,9,2,5,2,1
23,8,4,5,1,5,5,4,8,2
23,4,7,10,2,10,1,10,10,4
23,10,4,3,8,7,10,7,2,3
23,6,8,2,8,2,8,9,8,2
23,2,2,10,10,5,1,2,6,2
23,10,5,5,7,1,5,3,2,3
24,3,4,8,7,1,9,4,5,1
24,2,9,2,6,3,9,6,3,4
24,2,9,3,10,9,2,2,4,2
24,1,8,2,8,7,9,3,8,3
24,10,4,6,7,6,1,4,1,4
24,2,4,6,5,10,3,2,8,3
24,2,4,3,9,10,2,9,5,2
24,2,6,2,10,5,1,7,5,2
25,5,3,2,8,5,10,8,6,2
25,9,1,8,7,1,7,8,8,3
25,2,2,4,4,4,6,5,6,1
25,7,9,4,3,2,10,9,8,4
25,3,6,4,1,1,3,3,7,2
25,2,8,10,5,4,9,7,3,4
25,3,7,3,2,1,9,1,3,1
25,6,4,8,5,5,1,2,3,2
26,6,7,7,8,4,7,3,9,3
26,8,6,8,4,2,7,6,4,1
26,8,8,8,10,8,1,2,1,4
26,3,2,2,7,6,6,1,5,4
26,10,7,6,1,9,4,6,9,2
26,6,6,7,5,2,7,10,5,1
26,10,4,9,1,5,6,5,6,1
26,3,6,5,9,3,3,3,6,4
27,6,3,2,2,3,3,6,9,1
27,9,10,4,5,1,4,2,6,2
27,9,5,1,9,9,4,6,7,1
27,4,7,8,1,7,5,10,3,3
27,7,1,4,8,5,1,10,9,4
27,6,6,10,9,8,4,1,6,4
27,8,2,5,5,4,9,8,7,1
27,5,6,5,10,7,1,2,10,4
28,8,2,6,1,5,5,2,8,3
28,9,3,6,4,6,10,10,3,1
28,10,2,10,9,7,9,4,6,3
28,3,10,3,4,2,3,9,6,2
28,3,5,2,5,2,8,9,10,1
28,2,6,9,8,6,9,8,6,4
28,6,4,10,6,6,3,10,10,3
28,2,1,7,10,5,1,4,9,2
29,2,7,3,5,5,6,7,6,2
29,8,3,10,1,4,4,5,8,3
29,4,1,6,8,4,1,7,3,2
29,3,7,10,9,7,5,2,1,1
29,8,9,10,10,8,1,9,8,2
29,8,6,5,3,1,10,5,4,4
29,5,7,3,8,1,4,4,2,4
29,1,8,6,3,6,5,2,9,3
30,10,6,3,4,5,5,2,7,2
30,9,5,4,4,4,3,10,9,2
30,10,1,10,1,10,4,8,6,2
30,4,7,10,1,6,4,9,2,1
30,10,3,2,2,4,5,2,2,4
30,9,6,1,3,4,10,5,9,1
30,6,8,10,9,4,4,4,1,1
30,3,10,10,8,7,9,5,9,1
31,1,5,6,6,9,5,6,1,1
31,3,5,7,9,7,2,8,3,4
31,1,5,3,3,7,6,2,5,3
31,1,4,9,7,7,7,5,1,4
31,10,10,6,6,3,9,8,3,1
31,2,7,8,2,10,7,1,5,3
31,2,9,4,2,9,10,7,3,4
31,3,8,5,3,6,9,7,9,3
32,8,4,2,7,8,10,3,5,3
32,9,7,6,10,5,5,10,8,2
32,2,8,9,3,6,6,10,10,2
32,10,3,3,2,5,9,5,8,1
32,10,8,7,2,9,4,2,10,3
32,9,6,3,2,2,3,4,9,1
32,3,4,5,2,7,10,7,1,4
32,2,8,5,4,9,5,10,9,1
33,3,4,3,10,9,8,10,2,3
33,6,2,1,4,9,9,4,2,1
33,7,5,7,10,7,7,4,5,4
33,4,6,8,3,9,8,8,2,1
33,9,8,3,2,5,8,9,3,3
33,3,1,9,9,8,3,10,10,4
33,3,3,8,7,4,1,5,2,3
33,10,4,10,5,10,7,7,1,3
34,3,9,8,9,4,3,5,6,1
34,6,10,7,6,4,3,1,6,3
34,3,5,6,9,5,6,9,10,1
34,1,5,9,4,6,3,9,5,2
34,4,7,1,8,3,1,8,10,2
34,9,1,5,5,7,10,5,5,4
34,1,8,3,1,8,2,2,8,3
34,5,6,10,1,5,8,6,4,4
35,10,8,10,10,5,1,1,9,2
35,8,10,6,9,9,4,3,3,3
35,6,10,2,9,9,3,3,3,4
35,5,2,4,8,6,3,4,7,2
35,9,2,1,3,4,9,8,9,3
35,3,4,6,6,4,8,5,9,3
35,9,3,6,8,4,10,10,6,2
35,1,9,8,2,4,7,6,1,4
36,3,1,2,4,10,4,9,7,2
36,8,7,5,4,4,3,1,6,3
36,3,5,7,2,2,7,7,2,1
36,7,8,9,2,6,2,1,8,4
36,2,3,2,7,9,10,6,9,1
36,1,9,2,3,10,5,9,10,1
36,7,9,3,8,9,10,1,6,3
36,3,1,2,3,7,9,3,1,4
37,7,3,6,5,4,6,3,9,4
37,7,2,4,3,1,9,3,9,2
37,2,4,5,1,8,7,8,6,3
37,1,10,7,10,1,3,2,10,4
37,9,6,4,9,3,3,7,4,4
37,8,6,2,3,10,2,9,1,4
37,10,8,5,6,1,2,3,10,4
37,10,7,10,9,2,1,1,3,4
38,5,4,6,7,5,6,7,8,2
38,4,7,10,9,4,6,6,7,1
38,1,6,3,7,4,1,7,4,1
38,10,10,10,6,9,10,4,7,4
38,9,9,3,4,7,1,7,10,4
38,8,10,6,2,2,9,5,10,4
38,6,7,9,3,10,9,7,7,4
38,8,7,8,7,6,8,3,9,2
39,7,5,10,2,6,8,1,9,4
39,4,9,4,7,2,4,6,4,2
39,5,10,1,6,1,2,3,1,3
39,5,7,1,9,8,6,10,9,3
39,8,10,8,2,3,3,1,10,4
39,3,10,5,8,6,7,2,10,1
39,8,2,3,3,1,4,8,1,1
39,4,7,9,1,4,7,9,10,4
40,3,1,2,2,3,6,9,2,1
40,4,9,6,7,1,8,3,9,2
40,5,9,10,1,3,4,3,8,3
40,7,10,8,3,4,7,4,4,4
40,4,9,10,2,3,10,10,8,1
40,1,1,9,4,4,6,3,4,3
40,2,3,1,4,3,10,1,5,4
40,5,5,5,10,4,8,7,10,4
41,3,2,3,4,6,1,6,7,4
41,10,3,5,10,3,10,10,3,4
41,6,6,9,3,3,10,7,2,1
41,5,8,7,7,5,5,7,1,4
41,10,8,1,5,4,5,10,5,1
41,6,3,2,8,5,6,2,5,4
41,8,10,8,10,3,4,2,7,3
41,3,10,1,2,1,4,8,10,2
42,7,6,1,3,10,4,8,6,1
42,5,2,10,2,8,3,4,3,1
42,8,4,6,9,6,5,8,10,1
42,10,3,6,7,1,4,8,8,1
42,2,6,3,7,9,2,4,6,3
42,4,5,1,6,4,10,8,5,4
42,3,3,7,1,7,1,4,10,4
42,9,4,4,8,5,7,3,8,2
43,1,10,8,9,2,6,1,6,1
43,3,9,10,10,1,6,5,2,4
43,9,2,6,4,2,1,3,6,4
43,3,5,5,5,8,10,6,3,1
43,4,10,9,7,7,9,4,2,3
43,2,8,5,1,10,5,8,5,2
43,2,2,8,6,8,8,10,6,3
43,4,2,5,10,7,7,2,4,2
44,3,10,3,8,10,6,10,5,2
44,9,1,8,8,8,4,8,1,4
44,5,2,9,5,5,1,4,9,3
44,2,2,2,5,4,1,4,3,4
44,8,4,6,2,1,10,4,2,1
44,4,8,7,6,3,6,5,6,3
44,4,3,8,5,8,7,3,10,2
44,6,2,2,9,10,7,3,10,3
45,5,5,10,7,5,3,3,1,1
45,7,9,7,9,1,6,1,6,4
45,3,8,8,2,10,3,3,4,2
45,5,4,3,1,4,4,9,9,1
45,1,6,9,10,5,4,7,9,4
45,7,3,2,2,5,3,9,1,1
45,5,3,5,8,2,8,3,6,4
45,3,10,1,10,8,5,8,8,3
46,1,5,3,3,8,6,10,7,2
46,4,3,6,1,10,1,10,6,4
46,8,10,7,9,7,2,3,1,3
46,7,4,7,8,1,7,3,2,4
46,6,10,8,2,5,5,10,1,4
46,3,6,9,10,6,9,3,4,1
46,1,6,2,8,5,7,3,5,4
46,7,1,8,9,8,5,3,10,2
47,3,8,1,8,10,6,8,2,2
47,7,8,7,5,6,9,10,7,1
47,6,1,7,4,9,3,7,10,2
47,4,7,8,3,4,1,10,4,2
47,9,9,8,1,2,5,6,6,1
47,2,8,4,3,7,9,10,6,1
47,8,10,6,9,3,10,5,10,1
47,4,4,10,1,5,6,6,8,1
48,6,1,4,10,1,5,1,4,1
48,5,3,9,8,1,7,7,7,1
48,9,1,2,1,6,3,7,5,1
48,2,9,4,7,8,9,4,10,3
48,1,4,1,10,1,4,8,8,4
48,2,7,3,9,4,5,2,2,3
48,6,4,4,10,5,2,7,5,4
48,6,2,3,4,2,4,6,5,3
49,6,6,2,10,8,5,6,5,3
49,9,9,8,1,7,10,4,6,4
49,5,8,9,10,3,4,1,3,1
49,6,6,8,1,8,3,8,7,4
49,6,10,8,6,3,4,10,2,4
49,3,8,7,10,1,3,2,9,1
49,2,2,10,9,8,8,5,8,2
49,5,5,1,1,6,9,5,5,3
50,8,5,5,5,1,10,9,7,2
50,1,4,2,9,5,5,3,6,4
50,5,9,10,9,9,4,1,5,4
50,5,5,2,6,4,5,2,8,4
50,3,5,4,2,8,5,3,5,1
50,10,7,7,9,3,8,5,4,1
50,4,8,7,3,1,7,4,3,2
50,9,2,3,1,10,6,2,3,1
51,10,6,9,7,3,10,9,6,3
51,6,4,2,9,8,1,9,10,2
51,10,3,4,4,8,1,9,10,2
51,4,10,4,9,4,2,3,2,2
51,1,7,7,5,10,10,2,8,4
51,1,10,10,3,1,2,4,1,3
51,3,7,2,2,9,10,8,8,4
51,10,4,5,1,8,6,10,2,4
52,2,1,9,5,6,3,9,1,4
52,6,4,3,9,7,4,3,1,4
52,6,3,4,8,3,1,8,1,4
52,6,1,1,6,6,4,3,1,3
52,1,3,4,9,6,10,9,8,4
52,6,9,10,7,7,9,10,5,4
52,5,1,1,3,4,7,8,9,1
52,6,1,6,4,6,8,4,7,3
53,5,7,1,6,9,6,3,3,4
53,5,5,3,7,9,6,1,1,4
53,3,10,6,4,1,8,8,6,2
53,6,3,1,9,1,1,5,2,4
53,5,3,7,8,10,6,5,7,3
53,7,1,2,3,8,9,10,6,1
53,5,8,6,1,8,8,9,9,2
53,4,2,9,4,5,1,5,3,3
54,8,10,3,8,4,1,7,3,2
54,9,1,9,1,1,10,3,8,2
54,5,10,7,4,8,5,8,7,4
54,10,5,4,10,10,9,1,1,2
54,7,5,5,1,7,7,9,2,1
54,10,7,9,5,5,4,1,10,1
54,8,4,8,2,9,1,1,7,3
54,6,3,8,9,8,3,5,6,3
55,10,8,7,9,3,3,8,2,3
55,1,2,1,5,4,2,7,9,3
55,7,7,2,6,3,2,7,7,3
55,9,5,5,3,8,2,8,10,4
55,8,6,10,10,2,10,5,3,4
55,8,7,6,5,10,8,7,9,4
55,10,7,7,10,1,10,1,4,1
55,7,6,10,6,4,1,5,10,4
56,9,9,1,8,1,8,4,7,3
56,10,1,6,9,1,7,8,2,2
56,7,6,5,2,1,8,9,3,1
56,5,6,6,8,5,2,3,9,1
56,5,1,2,9,10,2,1,6,4
56,7,5,7,9,8,10,8,3,2
56,2,3,6,7,4,8,4,6,4
56,9,8,10,4,2,7,8,1,1
57,4,9,5,5,3,3,2,8,3
57,8,2,10,9,6,9,2,5,3
57,8,7,10,5,2,5,9,9,1
57,6,4,8,8,8,3,4,5,1
57,7,2,10,6,8,2,2,10,3
57,4,5,8,1,2,4,2,4,3
57,5,5,9,4,5,8,9,10,3
57,10,6,4,4,6,1,8,7,1
58,6,10,3,1,10,6,10,1,2
58,3,6,10,4,8,3,2,7,3
58,4,6,9,5,4,2,1,3,3
58,2,5,4,2,8,1,1,9,4
58,3,7,7,8,3,3,5,2,2
58,3,7,5,4,10,3,10,7,3
58,4,10,1,1,1,6,8,7,2
58,4,9,1,1,10,8,6,10,2
59,4,7,4,10,6,2,9,7,3
59,5,7,3,9,2,10,2,4,2
59,4,6,3,8,8,4,6,9,4
59,10,8,9,9,10,6,1,1,1
59,8,5,3,2,2,3,8,1,1
59,5,9,4,3,10,1,7,9,1
59,9,3,4,9,3,3,5,10,4
59,6,2,1,9,2,3,7,8,4
60,8,3,6,5,9,9,6,10,3
60,5,6,3,8,2,2,6,9,4
60,9,6,3,3,5,10,9,8,1
60,5,7,5,6,3,10,1,8,2
60,1,7,1,1,5,10,2,7,2
60,7,5,4,8,5,6,4,7,4
60,10,3,9,7,3,7,7,2,3
60,5,3,7,9,3,3,2,10,4
61,6,9,8,4,6,10,8,4,3
61,9,9,8,1,10,3,1,3,1
61,5,4,10,8,10,4,5,5,1
61,1,3,9,10,3,4,10,6,4
61,10,9,5,9,4,9,9,2,3
61,1,7,9,4,2,6,7,8,4
61,8,3,8,5,8,4,9,1,3
61,10,10,4,4,4,4,7,7,2
62,10,10,4,6,8,4,3,5,2
62,8,8,4,3,1,8,5,3,1
62,5,8,4,4,9,7,8,10,2
62,2,5,7,8,10,1,3,6,2
62,7,10,6,10,4,4,2,8,3
62,2,10,1,8,2,1,3,4,2
62,3,2,9,10,3,4,7,9,4
62,4,3,5,8,9,4,6,1,4
63,2,3,3,10,10,8,3,1,4
63,3,1,7,6,8,8,3,2,2
63,10,3,8,5,3,8,7,3,2
63,1,8,5,4,5,9,10,4,1
63,9,5,8,1,6,1,7,10,4
63,1,10,8,3,9,8,8,10,1
63,5,6,4,1,2,4,5,6,4
63,1,10,7,4,10,4,2,4,3
64,5,2,10,2,6,10,7,9,2
64,2,6,9,5,9,1,10,10,1
64,1,5,2,6,4,5,7,10,1
64,3,6,8,6,1,4,3,1,3
64,4,7,10,9,2,8,9,8,1
64,8,6,9,7,5,1,6,5,2
64,4,3,7,1,5,8,3,8,2
64,8,8,5,8,9,1,9,4,2
65,2,6,1,1,2,7,7,10,2
65,3,8,4,6,5,1,9,8,3
65,7,4,8,4,7,1,10,8,2
65,6,10,10,9,2,5,8,2,3
65,3,9,1,6,2,9,6,7,2
65,2,6,10,3,9,5,8,6,3
65,8,2,8,4,9,4,5,9,3
65,7,9,1,8,2,1,3,1,3
66,2,9,2,4,3,8,5,9,4
66,4,1,4,2,3,4,7,8,1
66,5,10,4,3,9,6,2,7,1
66,6,10,4,7,4,7,6,7,1
66,5,10,4,3,2,10,10,4,1
66,3,4,3,7,9,4,6,3,1
66,4,5,3,4,10,9,10,6,4
66,3,2,9,5,4,8,3,10,1
67,7,4,6,1,1,2,3,8,4
67,10,9,8,4,7,5,5,8,3
67,4,2,2,4,4,4,5,1,3
67,4,1,4,5,7,4,5,2,4
67,6,1,3,1,5,9,10,4,1
67,6,6,10,6,6,3,9,5,4
67,6,9,9,6,7,7,6,6,3
67,1,1,1,5,5,8,5,3,2
68,2,7,1,9,7,5,5,3,4
68,9,9,4,7,8,10,3,3,3
68,7,8,6,9,7,4,2,1,1
68,5,6,10,8,9,8,6,9,3
68,10,8,1,6,2,9,4,1,3
68,8,7,4,9,10,2,10,1,3
68,7,4,6,8,1,3,6,10,2
68,1,4,6,1,8,7,10,7,1
69,7,2,6,8,1,9,5,1,2
69,4,2,10,10,7,5,9,1,2
69,9,10,10,1,1,6,1,5,4
69,2,5,6,1,3,10,8,9,1
69,2,6,4,9,5,2,10,9,1
69,1,3,7,7,10,9,1,8,1
69,8,2,3,7,4,10,8,2,2
69,3,1,10,9,10,6,1,2,1
70,5,6,5,5,2,5,10,9,1
70,10,3,7,2,3,4,7,6,4
70,6,9,10,10,1,9,2,3,4
70,9,1,5,9,2,3,2,2,1
70,10,3,1,10,1,8,10,3,3
70,4,7,3,7,9,7,3,9,3
70,4,3,8,8,4,8,4,7,3
70,9,8,10,2,1,7,1,4,4
71,1,7,2,4,7,10,3,5,3
71,5,4,9,5,3,6,1,10,4
71,7,1,7,4,6,5,8,9,3
71,10,6,9,8,10,9,7,10,2
71,3,3,8,8,3,10,6,5,2
71,7,6,4,10,6,1,2,8,1
71,10,10,4,3,7,2,10,8,3
71,5,3,3,1,3,2,10,6,2
72,2,10,8,5,9,10,2,1,4
72,3,9,3,3,2,2,8,1,4
72,10,2,7,4,6,6,9,6,2
72,3,2,10,3,5,4,7,6,2
72,4,7,7,1,3,1,7,1,4
72,8,4,5,10,1,1,2,6,2
72,1,3,2,6,3,10,1,2,3
72,4,8,1,6,5,9,5,3,3
73,5,10,4,8,1,1,10,3,2
73,3,1,10,2,6,5,7,10,1
73,6,6,5,7,4,4,3,1,4
73,7,6,5,9,8,6,8,6,4
73,2,3,9,9,3,4,8,7,3
73,9,5,2,2,6,1,6,10,1
73,10,7,8,6,6,1,5,5,1
73,2,4,10,1,2,5,7,6,2
74,2,3,5,8,7,1,8,2,1
74,5,9,6,4,5,10,5,3,4
74,4,4,5,4,4,5,9,6,2
74,9,5,6,3,2,2,10,6,4
74,2,1,10,8,1,5,10,4,1
74,9,6,1,3,6,5,2,7,1
74,5,9,2,3,10,3,6,5,2
74,9,9,2,4,9,3,3,2,3
75,9,8,1,2,9,3,3,1,3
75,5,6,5,5,3,7,10,7,4
75,5,3,5,2,9,4,4,4,2
75,1,4,5,8,9,1,7,8,1
75,5,1,8,8,8,4,9,6,2
75,4,8,2,7,1,7,1,9,2
75,5,3,8,7,7,2,4,9,2
75,9,4,4,1,3,8,7,3,4
76,3,1,2,6,8,1,5,1,4
76,1,9,9,7,3,7,4,7,3
76,3,4,7,8,3,5,2,10,3
76,3,7,8,4,10,10,2,3,3
76,10,9,2,2,10,6,1,6,3
76,3,9,10,5,8,2,10,10,2
76,5,3,6,8,9,6,8,2,4
76,8,9,2,9,6,6,2,8,3
77,7,10,4,7,4,6,9,6,3
77,3,6,1,1,7,7,7,3,2
77,7,3,1,8,6,7,4,10,4
77,1,4,8,3,1,5,5,4,2
77,3,3,10,5,3,2,6,4,3
77,1,9,9,2,7,7,7,1,3
77,10,6,2,6,10,10,10,1,3
77,9,10,3,8,4,5,7,2,3
78,5,10,6,7,2,7,3,7,1
78,1,2,3,7,2,7,9,10,1
78,1,9,3,10,10,1,5,7,2
78,3,3,3,9,8,9,10,7,1
78,8,2,10,2,7,7,5,8,2
78,6,6,8,5,5,3,5,4,3
78,6,4,5,2,8,7,6,4,4
78,9,1,4,10,10,4,8,10,2
79,8,8,7,10,2,2,5,7,2
79,3,9,10,5,10,10,9,4,4
79,6,1,2,1,2,10,6,2,2
79,3,7,1,8,8,1,6,7,2
79,1,2,4,6,1,8,2,10,1
79,6,9,4,2,10,5,1,1,3
79,8,7,3,1,1,5,3,2,3
79,7,5,10,7,10,9,9,1,2
80,8,9,2,7,5,4,7,6,3
80,5,7,3,1,7,3,3,2,4
80,4,8,10,5,6,4,6,1,4
80,6,6,1,5,1,10,6,8,1
80,3,2,5,3,3,2,5,9,1
80,4,2,8,4,7,1,6,10,2
80,5,9,7,10,4,4,1,4,3
80,8,10,10,3,1,2,9,9,1
81,1,6,2,2,8,1,6,1,1
81,10,10,7,9,6,7,2,2,2
81,2,8,7,10,7,7,6,3,3
81,5,1,4,10,4,9,3,2,2
81,5,4,8,4,7,8,8,2,3
81,7,5,4,4,7,2,9,6,3
81,8,8,5,10,2,7,3,6,4
81,7,4,6,9,1,2,9,10,4
82,8,9,9,5,3,3,5,4,2
82,8,5,1,6,3,1,3,2,2
82,1,1,5,10,10,5,7,8,2
82,1,4,4,4,1,9,3,9,1
82,7,2,5,2,9,8,2,5,3
82,5,3,9,8,3,8,7,10,1
82,9,5,3,1,3,1,2,2,2
82,8,8,5,4,9,7,1,10,3
83,9,3,2,9,6,5,10,5,3
83,4,5,10,5,5,1,1,2,3
83,1,4,6,3,1,3,4,5,3
83,7,4,4,4,5,2,9,8,3
83,6,10,7,3,1,2,7,4,2
83,8,8,7,7,5,8,6,4,1
83,10,10,9,8,9,10,2,4,3
83,6,5,7,6,5,3,7,10,2
84,4,10,4,1,9,10,6,2,4
84,4,3,1,4,2,6,2,7,4
84,9,1,2,9,5,6,2,4,2
84,10,5,8,7,1,1,6,6,3
84,10,5,4,2,5,6,8,5,1
84,7,4,4,9,4,1,2,10,4
84,8,3,5,5,5,5,3,3,1
84,2,1,6,7,8,2,10,1,1
85,10,8,4,6,5,4,10,1,3
85,8,7,6,3,5,7,6,5,2
85,6,7,1,7,4,9,7,3,2
85,4,10,10,9,7,3,3,5,1
85,2,5,9,3,8,2,4,10,4
85,10,9,1,3,4,2,10,5,3
85,1,3,10,7,5,7,5,9,1
85,3,9,5,8,4,1,1,4,1
86,1,2,2,3,9,10,7,2,4
86,1,10,8,1,4,7,1,9,4
86,9,10,7,10,9,6,3,2,1
86,10,10,6,1,9,8,1,4,4
86,3,6,1,10,5,3,5,1,1
86,3,1,5,10,5,5,6,3,2
86,4,6,6,2,2,4,6,6,4
86,7,4,7,2,3,3,10,1,4
87,1,6,6,10,7,2,9,6,2
87,10,8,10,1,1,8,6,1,2
87,8,3,3,3,4,6,2,10,4
87,9,4,3,9,9,3,4,10,2
87,5,9,6,10,10,7,2,5,3
87,7,1,4,7,2,10,5,10,2
87,10,1,5,6,5,2,1,5,3
87,7,6,6,9,5,10,1,8,3
88,4,3,9,6,9,2,10,3,3
