Respondent,RLH,price,Level 1,Level 2,Level 3,Level 1,Level 2,Level 3,Level 1,Level 2,Level 3
74,0.5377931515,-1.8503805128,2.1894890685,1.7470937530,0.0000000000,-2.1772281820,-2.4584459225,0.0000000000,-1.4042081862,-2.2272337613,0.0000000000
75,0.4391668607,-1.4423961190,1.1839623512,3.5035422807,0.0000000000,-0.2538069100,-0.8764872183,0.0000000000,-3.2799999751,-0.6875599067,0.0000000000
76,0.8676052311,-1.6594278755,1.3678303954,2.4620930745,0.0000000000,-0.0754834633,1.1396888377,0.0000000000,-3.9222442755,-3.7303144232,0.0000000000
77,0.5233510391,-1.9737931430,1.5340004134,3.8237668725,0.0000000000,0.1129182022,1.0601150815,0.0000000000,-1.0167592000,1.4895829941,0.0000000000
78,0.3802038674,-1.3869680257,2.6272944964,3.3175230373,0.0000000000,-1.5620663584,-2.8007715539,0.0000000000,-0.2058077478,1.6653658563,0.0000000000
79,0.5976569600,-2.4858372467,1.1611659924,1.8964668760,0.0000000000,-1.4690758799,-2.0385296223,0.0000000000,-1.6136258848,-0.2356399938,0.0000000000
80,0.5525903334,-2.4306199537,0.7002338809,1.7995861766,0.0000000000,-0.1912381400,0.3336152845,0.0000000000,-2.2157499340,0.6011719307,0.0000000000
81,0.5144457699,-1.0732332513,-0.5398292094,1.0816786746,0.0000000000,1.0819276729,2.7480794059,0.0000000000,-3.9229855305,-1.8892873294,0.0000000000
82,0.3832515747,-1.5422815635,-1.1961310487,-0.8415523606,0.0000000000,-1.6988796864,-1.1081977011,0.0000000000,-2.2141777380,-0.3973239882,0.0000000000
83,0.4689853501,-2.1675547750,1.3178999503,2.4051086844,0.0000000000,0.2550822643,0.2661394229,0.0000000000,-1.7211765027,-0.2824463972,0.0000000000
84,0.7209931534,-2.3939415301,0.8092790389,2.2022474126,0.0000000000,-1.6833850138,-1.2451747352,0.0000000000,-3.0315613292,-2.9019424007,0.0000000000
85,0.4295408046,-2.4770966745,0.6343084955,0.6232587074,0.0000000000,0.3868784160,0.9121165392,0.0000000000,-1.4119346090,-0.4382442079,0.0000000000
86,0.6858161934,-1.2960903160,1.2972297713,1.3723049112,0.0000000000,-1.2556608907,-1.4779154056,0.0000000000,-4.4072938073,-4.3866574423,0.0000000000
87,0.4116560462,-1.9376462439,-0.4070431977,0.7465884969,0.0000000000,-0.6687935897,-0.8018369335,0.0000000000,-2.3850528095,-2.8477754125,0.0000000000
88,0.6576221078,-2.5174811617,1.4260757242,3.5400583922,0.0000000000,-0.3613233932,-0.5455643753,0.0000000000,-1.8011799218,-1.2806238825,0.0000000000
89,0.4861900878,-0.7984786300,1.5459414820,2.2421701374,0.0000000000,-2.1703907467,-2.7567264581,0.0000000000,-2.7860740475,-3.8362147098,0.0000000000
90,0.6953723034,-2.2255642871,1.5341545817,3.9197074090,0.0000000000,-1.7999002298,-0.9081059308,0.0000000000,-0.8486478829,1.3761576915,0.0000000000
91,0.4988124807,-1.5615503085,0.7353049458,2.7326551151,0.0000000000,0.7387007599,0.9732158167,0.0000000000,-4.1074500220,-4.5932092608,0.0000000000
92,0.7448894841,-2.1271720956,2.1465543257,4.1062094912,0.0000000000,1.2137343307,2.2939633490,0.0000000000,-1.5688595013,0.5460364165,0.0000000000
93,0.6606233863,-1.3380272085,1.7532057928,3.7421482401,0.0000000000,0.9454689638,3.2367281939,0.0000000000,-2.1697185131,-2.6520528129,0.0000000000
94,0.7338664110,-1.3768778718,0.6941609843,3.6129656911,0.0000000000,-0.2245815922,1.4264373568,0.0000000000,-3.8599988653,-3.2374840365,0.0000000000
95,0.5511725713,-2.4522171065,0.4134574626,1.8510420406,0.0000000000,-0.6343195472,-1.4026773399,0.0000000000,-1.2515934377,-0.6088384910,0.0000000000
96,0.4693692682,-1.8171981350,1.7680800608,2.2540970565,0.0000000000,-0.0298554214,0.7780006893,0.0000000000,-1.4258656831,1.7141792793,0.0000000000
97,0.5030082607,-2.1378363103,-0.0791479276,0.3597572666,0.0000000000,-1.2343664591,-1.6481745292,0.0000000000,-2.9496877532,-2.2333591975,0.0000000000
98,0.4562613963,-0.4478370338,-1.0116511415,1.7321100202,0.0000000000,1.4568245199,0.5175592232,0.0000000000,-1.4914304878,0.6941250109,0.0000000000
99,0.7498435166,-2.4590147133,0.4460247061,2.1549438316,0.0000000000,0.9476593257,1.9292183902,0.0000000000,-2.8583024865,-0.3523577966,0.0000000000
100,0.5927827292,-1.5739845051,2.5416875112,3.7945024589,0.0000000000,-2.8329351003,-2.6869328170,0.0000000000,-2.0393649719,-0.7609482028,0.0000000000
101,0.7352154544,-2.3634353736,1.8335600429,2.5930194032,0.0000000000,1.0600373388,0.4330510193,0.0000000000,-3.2595383415,-2.5394945017,0.0000000000
102,0.3983362227,-2.2042831273,0.2537521366,0.8553345924,0.0000000000,-1.9248110245,-1.6644383641,0.0000000000,-1.1051565010,-0.5338683035,0.0000000000
103,0.4100813570,-1.8857957209,-0.2183612535,-0.0161830423,0.0000000000,-2.1288312398,-0.7203109849,0.0000000000,-1.5917234432,-0.0626864235,0.0000000000
104,0.4104970797,-0.7252606721,-0.7080981470,-0.7859395577,0.0000000000,-0.9150665250,-2.6430978651,0.0000000000,-3.0622109929,-1.9549415204,0.0000000000
105,0.6842073972,-1.8480292637,-0.3541677145,1.5297473665,0.0000000000,-2.5725420032,-2.5893123716,0.0000000000,-3.6540876580,-2.1978186093,0.0000000000
106,0.5850672490,-1.5166891629,0.2374795267,0.3565933261,0.0000000000,-2.7163320120,-3.8825999805,0.0000000000,-2.8944576639,-2.6043130575,0.0000000000
107,0.3573113781,-1.0846303993,0.2592401715,2.7298935722,0.0000000000,-0.1122603528,-0.0465897184,0.0000000000,-2.1813505991,-1.7034663816,0.0000000000
108,0.5326573352,-1.4580684208,0.4325819022,3.5197472638,0.0000000000,-0.2089367208,-1.9258436942,0.0000000000,-3.4976651225,-2.0895158538,0.0000000000
109,0.4468600873,-1.7641252611,0.9386678513,2.0342512517,0.0000000000,1.1062571504,0.8827496606,0.0000000000,-3.3476653795,-2.7288648690,0.0000000000
110,0.6237335132,-1.6058470603,0.4379745374,0.8954743304,0.0000000000,-3.2457713256,-4.7126545620,0.0000000000,-1.8041317914,0.0479816170,0.0000000000
111,0.5267608984,-1.5414303523,0.7562899593,3.7867913565,0.0000000000,0.4672324220,-0.4297035833,0.0000000000,-3.2566254680,-0.4879681394,0.0000000000
112,0.6191159219,-2.4775457646,1.9387587515,2.9389795379,0.0000000000,-1.3488279780,-1.6488630261,0.0000000000,-2.2293011469,-0.5139276069,0.0000000000
113,0.4724341571,-1.1093796758,1.3752122989,2.0814001208,0.0000000000,-1.5844250469,-3.2971868641,0.0000000000,-2.4802689530,0.0090701696,0.0000000000
114,0.3725102861,-1.8234002984,1.5187285007,1.8195274698,0.0000000000,-1.2441290164,-0.0248029676,0.0000000000,-0.4839864205,1.2881122214,0.0000000000
115,0.3778354538,-0.7208804894,1.5148564699,1.6518106990,0.0000000000,-1.6110336646,-2.3191969716,0.0000000000,-3.8455756212,-2.4590821550,0.0000000000
116,0.4567368738,-1.9170742847,1.9239398846,1.8008343234,0.0000000000,-2.0370054030,-2.7715589320,0.0000000000,-0.0736921559,0.1268270420,0.0000000000
117,0.5401692577,-1.4530299550,0.6521511011,2.1959282117,0.0000000000,-1.3894530749,-1.6735493905,0.0000000000,-3.8594082132,-4.3389239155,0.0000000000
118,0.4242417768,-1.1742395436,2.4268718674,4.0140854858,0.0000000000,1.0576218369,2.3800344526,0.0000000000,-0.6605943437,-0.5967989383,0.0000000000
119,0.5793577092,-1.2373524888,1.3258061346,4.8605158048,0.0000000000,-0.9819645168,-0.0767654357,0.0000000000,-1.2903148904,-0.3683348184,0.0000000000
120,0.5681604243,-0.7517343966,2.7250733492,4.2500962072,0.0000000000,-2.0522941200,-3.2285775055,0.0000000000,-2.3234903231,-0.6674917412,0.0000000000
121,0.3583024289,-1.5658638718,1.7379981080,2.3006921890,0.0000000000,-1.3259372258,-0.7632024159,0.0000000000,-2.6852272884,-2.3094514719,0.0000000000
122,0.4783531804,-0.9638979624,2.2143564372,3.2009684744,0.0000000000,-0.7548201198,1.2412536527,0.0000000000,-2.8947691499,-0.9472433470,0.0000000000
123,0.7580652257,-2.4403566773,1.3455504433,3.1925583381,0.0000000000,-1.7815760609,-1.8480311179,0.0000000000,-1.6016627125,0.8316342667,0.0000000000
124,0.6604273260,-1.4796728005,0.4709116348,1.7989554685,0.0000000000,-0.6179697280,-1.4865311154,0.0000000000,-4.6407455907,-3.3187931556,0.0000000000
125,0.2876257103,-1.4349983122,0.7411057182,0.4490714172,0.0000000000,-0.7308126281,-0.6899631132,0.0000000000,-1.6052777393,-1.6257179919,0.0000000000
126,0.4175320203,-1.8624009358,0.0516334343,0.4819975609,0.0000000000,-2.4668353567,-2.7913777426,0.0000000000,-0.7250688239,1.8099819951,0.0000000000
127,0.4399832138,-1.0144420197,2.6597535482,3.5659116776,0.0000000000,-1.6797739812,-0.1705329108,0.0000000000,-0.2457203667,1.9871035900,0.0000000000
128,0.3510933237,-1.5819744287,0.6611386911,1.2074015889,0.0000000000,-1.9452178830,-1.6506512755,0.0000000000,-2.3564577706,-2.1544897899,0.0000000000
129,0.7066167608,-2.2773415650,1.3223351238,2.1517596198,0.0000000000,0.5584027896,-0.6663263940,0.0000000000,-3.7254187709,-2.7533495356,0.0000000000
130,0.7459694416,-1.4783519470,1.4217044014,3.5468290990,0.0000000000,0.6197377898,1.6557168453,0.0000000000,-1.8234092220,1.9194281260,0.0000000000
131,0.4420946816,-1.5369397850,0.6125227709,0.1249959277,0.0000000000,-0.9922615728,-0.0313327624,0.0000000000,-3.5507748910,-1.4418785656,0.0000000000
132,0.5737001618,-1.2301094203,1.2528809851,4.4747392296,0.0000000000,-1.5192432766,-2.1647996841,0.0000000000,-3.2808428835,-2.2109907577,0.0000000000
133,0.5840221177,-1.6891340989,2.1007504750,3.4569848531,0.0000000000,-0.5481988613,0.2788691218,0.0000000000,-3.9457500507,-2.2150566481,0.0000000000
134,0.3243682158,-1.2596095179,0.6197744877,3.1733841268,0.0000000000,-0.8426631032,0.2308793508,0.0000000000,-2.0682522019,-1.1265493101,0.0000000000
135,0.5523632301,-0.3972607727,0.9534050211,2.8554858070,0.0000000000,-3.1577348020,-3.8484840184,0.0000000000,-2.7339423483,-0.0527086084,0.0000000000
136,0.4477115093,-1.3769570954,0.5547892171,1.3898709592,0.0000000000,-1.4050480696,-2.9178811489,0.0000000000,-3.1104219100,-1.4887602072,0.0000000000
137,0.3258576946,-1.4946142300,1.9445819805,2.4612518387,0.0000000000,0.3743471393,-0.0676651491,0.0000000000,-1.8407703667,-0.8269093823,0.0000000000
138,0.5577484549,-1.3845905540,1.3473343467,2.7506012023,0.0000000000,0.5212166722,3.0129815108,0.0000000000,-3.5021834848,-1.0728584828,0.0000000000
139,0.6465445269,-2.1580673105,1.4640003376,3.6528300743,0.0000000000,-1.1308882658,-1.2622130456,0.0000000000,-0.3593967184,1.4325833926,0.0000000000
140,0.7150399127,-2.3477289148,2.5675590468,3.7843202191,0.0000000000,0.2507714030,0.5371648648,0.0000000000,-2.8348402907,-1.0111954402,0.0000000000
141,0.4260429742,-0.9773642762,-0.2723936611,2.3950668201,0.0000000000,0.1512712943,1.6721929579,0.0000000000,-3.1935558658,-1.5186354029,0.0000000000
142,0.6634649001,-2.0102705767,2.1763243540,3.7554714407,0.0000000000,0.4185780645,0.8108230128,0.0000000000,-3.4846775914,-3.3179856408,0.0000000000
143,0.3994314727,-1.6916010654,-0.3758010716,0.5972529257,0.0000000000,-2.0653380627,0.0380197001,0.0000000000,-0.4886644072,0.2356289499,0.0000000000
144,0.4367992874,-1.8005159957,-0.3180521903,0.5245577340,0.0000000000,-0.1845636686,-1.2232344611,0.0000000000,-2.7391789126,0.0750904626,0.0000000000
145,0.5060306289,-1.2788434779,0.4690945933,3.1383974258,0.0000000000,-2.0680347280,-0.7557591957,0.0000000000,-1.8132777401,0.8734095310,0.0000000000
146,0.5643805294,-1.0662906796,0.7831769775,2.8047770182,0.0000000000,1.7039270953,2.4985666083,0.0000000000,-3.6699821679,-1.1271589005,0.0000000000
147,0.5190477017,-1.9393283359,0.9850716197,2.0401501153,0.0000000000,-1.6415005403,-2.1930198878,0.0000000000,0.3823282723,2.1607147080,0.0000000000
148,0.4331812820,-1.6524641603,2.8362867886,2.7404393931,0.0000000000,-1.7402321332,-1.6651611523,0.0000000000,-1.7206784040,-0.2179584979,0.0000000000
149,0.5302143706,-1.1910226853,0.9844734696,2.1499830541,0.0000000000,-4.0760014610,-4.1184788982,0.0000000000,-0.7957937543,0.9291625910,0.0000000000
150,0.5771079167,-1.9801768099,2.2019489693,3.4897916359,0.0000000000,1.7694492375,3.0337895519,0.0000000000,-2.7013932357,-0.5845137781,0.0000000000
151,0.4028083141,-2.2778541754,1.4610693482,1.1290319879,0.0000000000,0.7664095827,0.5563256559,0.0000000000,-0.9511832007,0.7426557091,0.0000000000
152,0.5624360587,-1.3823594200,1.1845307873,2.5443609242,0.0000000000,-0.3646858487,1.6099948800,0.0000000000,-4.1545192446,-3.7627262491,0.0000000000
153,0.5224429690,-0.8929652055,0.8407248903,3.4729647403,0.0000000000,-1.9953171638,-2.5238006021,0.0000000000,-1.6706360563,1.4113484019,0.0000000000
154,0.6384067261,-1.9745739602,1.2965323654,3.2074717476,0.0000000000,-0.1011260018,1.4488794494,0.0000000000,-2.5725468992,0.3502732441,0.0000000000
155,0.4872667108,-1.5802092493,1.3580948272,2.0135390825,0.0000000000,0.9561183981,2.5722101043,0.0000000000,-1.0845571855,2.2347579920,0.0000000000
156,0.4990270894,-0.8001452846,1.0562118667,3.0479665071,0.0000000000,-1.1370154831,-0.5554645228,0.0000000000,-4.1579699296,-3.4150294377,0.0000000000
157,0.5594469626,-2.1580186113,1.5743425031,2.0957588796,0.0000000000,-0.9354073330,0.6150083010,0.0000000000,-2.0317714354,-2.5347822484,0.0000000000
158,0.6199568548,-2.2486293420,0.3768530920,0.0540894929,0.0000000000,-2.5151536459,-1.5787730562,0.0000000000,-1.8850461718,-0.0912502907,0.0000000000
159,0.5462850539,-0.6435156856,0.1623771054,1.0159010845,0.0000000000,-1.7916384123,-2.4348146000,0.0000000000,-4.0115899173,-4.6152424693,0.0000000000
160,0.5692119249,-1.5669358362,-2.1631325143,-1.2678791815,0.0000000000,-0.4157373375,-0.0048177816,0.0000000000,-2.8809194976,0.4277458862,0.0000000000
161,0.2670105941,-1.1043042016,1.3324008253,1.8623791907,0.0000000000,-0.5557882846,-0.1953699257,0.0000000000,-1.4401263663,-1.8109778678,0.0000000000
162,0.5344748361,-1.1358227226,1.2153344816,4.1432871742,0.0000000000,-2.1731715837,-1.1488699005,0.0000000000,-0.3808452861,0.8451257361,0.0000000000
163,0.5799349186,-1.8499649360,2.1776814433,3.6328890067,0.0000000000,0.9785634492,-0.8400934792,0.0000000000,-2.8074992002,-3.1155177236,0.0000000000
164,0.3960419037,-0.8056509339,1.5025689845,3.7151293483,0.0000000000,-1.1960777992,-0.8218740515,0.0000000000,-1.1205287302,1.3937791531,0.0000000000
165,0.3308724504,-0.9044749406,1.3277878531,2.6996907344,0.0000000000,-1.7029238061,-1.8900661258,0.0000000000,-2.2870136710,-1.0559024419,0.0000000000
166,0.5684234546,-0.6782425381,1.8225603557,3.9319020899,0.0000000000,-2.1914894123,-0.7617235148,0.0000000000,-1.1052204694,2.2880135393,0.0000000000
